timestep,reward
44,39.288
88044,39.272
176044,40.302
264044,40.374
352044,40.642
440044,39.64
528044,40.321
616044,40.219
704044,41.127
792044,40.345
880044,40.038
968044,40.986
1056044,41.098
1144044,40.847
1232044,40.718
1320044,40.687
1408044,41.299
1496044,40.834
1584044,40.185
1672044,40.896
1760044,41.109
1848044,41.547
1936044,41.323
2024044,40.699
2112044,40.823
2200044,42.086
2288044,42.054
2376044,40.937
2464044,41.597
2552044,41.488
2640044,41.74
2728044,41.974
2816044,41.567
2904044,41.498
2992044,40.595
3080044,41.367
3168044,41.431
3256044,41.193
3344044,41.348
3432044,42.318
3520044,41.447
3608044,42.036
3696044,41.366
3784044,41.983
3872044,41.129
3960044,41.571
4048044,40.633
4136044,41.442
4224044,41.442
4312044,41.447
4400044,41.329
4488044,42.2
4576044,41.533
4664044,42.166
4752044,41.643
4840044,41.452
4928044,40.981
5016044,41.707
5104044,42.287
5192044,41.387
5280044,40.824
5368044,41.674
5456044,41.904
5544044,41.869
5632044,42.135
5720044,41.286
5808044,42.211
5896044,42.238
5984044,41.833
6072044,41.575
6160044,41.778
6248044,42.202
6336044,41.364
6424044,42.376
6512044,41.904
6600044,42.066
6688044,41.311
6776044,42.674
6864044,41.481
6952044,41.953
7040044,41.166
7128044,42.4
7216044,41.958
7304044,41.36
7392044,42.403
7480044,41.682
7568044,42.073
7656044,41.548
7744044,42.485
7832044,42.14
7920044,41.646
8008044,41.619
8096044,42.081
8184044,42.215
8272044,41.886
8360044,41.677
8448044,42.908
8536044,42.073
8624044,41.829
8712044,41.974
8800044,41.729
8888044,41.89
8976044,42.543
9064044,41.221
9152044,41.96
9240044,42.253
9328044,41.804
9416044,41.675
9504044,41.697
9592044,42.448
9680044,41.66
9768044,42.328
9856044,41.976
9944044,42.204
10032044,41.999
10120044,41.854
10208044,41.837
10296044,43.41
10384044,41.727
10472044,43.208
10560044,42.075
10648044,42.551
10736044,41.979
10824044,43.059
10912044,41.776
11000044,42.646
11088044,41.662
11176044,42.47
11264044,41.96
11352044,41.825
11440044,41.785
11528044,43.184
11616044,41.634
11704044,41.991
11792044,40.834
11880044,42.709
11968044,41.865
12056044,42.6
12144044,41.943
12232044,42.318
12320044,42.757
12408044,42.108
12496044,42.434
12584044,42.331
12672044,42.518
12760044,42.696
12848044,41.734
12936044,42.746
13024044,42.263
13112044,42.54
13200044,42.529
13288044,42.922
13376044,42.7
13464044,42.469
13552044,42.456
13640044,42.186
13728044,42.495
13816044,41.917
13904044,43.494
13992044,42.441
14080044,42.375
14168044,41.76
14256044,42.385
14344044,42.279
14432044,42.381
14520044,41.848
14608044,42.439
14696044,42.046
14784044,42.734
14872044,42.704
14960044,41.038
15048044,41.866
15136044,42.644
15224044,41.988
15312044,42.217
15400044,43.024
15488044,42.023
15576044,42.896
15664044,41.798
15752044,42.189
15840044,42.259
15928044,41.306
16016044,42.645
16104044,42.517
16192044,42.317
16280044,42.065
16368044,42.364
16456044,42.487
16544044,42.761
16632044,42.282
16720044,42.415
16808044,42.74
16896044,42.965
16984044,41.661
17072044,42.348
17160044,42.443
17248044,41.992
17336044,42.175
17424044,42.109
17512044,42.008
17600044,42.841
17688044,42.423
17776044,42.062
17864044,41.836
17952044,42.658
18040044,41.945
18128044,42.487
18216044,42.678
18304044,42.07
18392044,42.363
18480044,42.402
18568044,42.429
18656044,42.1
18744044,42.424
18832044,42.002
18920044,42.774
19008044,41.238
19096044,43.017
19184044,42.352
19272044,41.855
19360044,42.878
19448044,41.996
19536044,42.407
19624044,42.638
19712044,41.636
19800044,42.268
19888044,42.282
19976044,42.21
20064044,42.746
20152044,42.343
20240044,42.682
20328044,42.113
20416044,42.643
20504044,42.503
20592044,43.144
20680044,42.169
20768044,43.009
20856044,41.564
20944044,43.132
21032044,43.079
21120044,41.504
21208044,41.83
21296044,42.587
21384044,41.537
21472044,42.642
21560044,41.675
21648044,41.813
21736044,42.122
21824044,42.065
21912044,42.644
22000044,42.432
22088044,42.273
22176044,41.897
22264044,41.6
22352044,42.125
22440044,41.394
22528044,41.337
22616044,42.234
22704044,42.333
22792044,42.266
22880044,42.451
22968044,41.989
23056044,42.709
23144044,41.408
23232044,42.112
23320044,42.05
23408044,42.873
23496044,41.974
23584044,42.35
23672044,41.998
23760044,41.976
23848044,41.776
23936044,41.936
24024044,42.078
24112044,42.221
24200044,41.586
24288044,42.59
24376044,42.069
24464044,41.938
24552044,42.663
24640044,42.359
24728044,42.545
24816044,42.132
24904044,42.486
24992044,42.326
25080044,42.145
25168044,42.915
25256044,42.093
25344044,42.7
25432044,42.094
25520044,41.973
25608044,42.866
25696044,41.457
25784044,42.63
25872044,41.565
25960044,42.049
26048044,42.434
26136044,41.94
26224044,42.167
26312044,42.509
26400044,42.552
26488044,41.947
26576044,42.713
26664044,42.6
26752044,42.378
26840044,42.104
26928044,41.798
27016044,42.07
27104044,42.732
27192044,42.27
27280044,42.014
27368044,41.852
27456044,42.345
27544044,42.714
27632044,41.355
27720044,42.783
27808044,42.469
27896044,43.008
27984044,42.216
28072044,43.268
28160044,42.11
28248044,41.845
28336044,42.736
28424044,41.867
28512044,41.926
28600044,42.362
28688044,42.105
28776044,42.487
28864044,42.537
28952044,42.417
29040044,41.985
29128044,42.136
29216044,42.373
29304044,41.923
29392044,41.774
29480044,42.625
29568044,42.34
29656044,42.329
29744044,42.345
29832044,41.974
29920044,42.389
30008044,42.256
30096044,41.775
30184044,42.683
30272044,42.345
30360044,42.686
30448044,41.595
30536044,42.458
30624044,42.668
30712044,42.771
30800044,42.218
30888044,42.08
30976044,42.615
31064044,42.299
31152044,41.965
31240044,41.951
31328044,42.141
31416044,42.211
31504044,41.687
31592044,42.316
31680044,41.611
31768044,42.337
31856044,42.603
31944044,42.41
32032044,41.908
32120044,42.221
32208044,42.417
32296044,42.337
32384044,42.686
32472044,41.842
32560044,42.381
32648044,41.959
32736044,42.331
32824044,42.296
32912044,42.151
33000044,41.681
33088044,42.59
33176044,42.431
33264044,42.112
33352044,42.327
33440044,42.655
33528044,42.253
33616044,42.659
33704044,42.066
33792044,41.799
33880044,42.539
33968044,42.249
34056044,42.194
34144044,41.996
34232044,42.763
34320044,42.47
34408044,41.812
34496044,41.991
34584044,42.131
34672044,42.484
34760044,41.617
34848044,43.109
34936044,42.301
35024044,42.027
35112044,42.186
35200044,41.756
35288044,42.977
35376044,42.494
35464044,42.456
35552044,41.758
35640044,41.966
35728044,42.297
35816044,42.58
35904044,42.464
35992044,41.451
36080044,42.556
36168044,42.348
36256044,42.086
36344044,42.279
36432044,41.403
36520044,42.297
36608044,42.447
36696044,42.189
36784044,41.868
36872044,42.163
36960044,42.016
37048044,42.167
37136044,41.689
37224044,41.999
37312044,41.874
37400044,41.904
37488044,42.328
37576044,41.772
37664044,42.494
37752044,43.044
37840044,42.436
37928044,42.228
38016044,42.077
38104044,42.264
38192044,42.252
38280044,42.611
38368044,42.572
38456044,42.325
38544044,42.274
38632044,42.522
38720044,42.305
38808044,41.447
38896044,42.303
38984044,42.257
39072044,42.065
39160044,41.95
39248044,42.39
39336044,41.7
39424044,42.781
39512044,42.012
39600044,42.82
39688044,41.89
39776044,42.028
39864044,42.427
39952044,42.457
40040044,41.526
40128044,42.314
40216044,42.319
40304044,42.887
40392044,43.101
40480044,41.962
40568044,42.989
40656044,42.071
40744044,41.61
40832044,42.275
40920044,42.061
41008044,42.479
41096044,42.546
41184044,42.983
41272044,42.37
41360044,42.582
41448044,42.056
41536044,42.293
41624044,42.369
41712044,41.806
41800044,41.373
41888044,42.827
41976044,42.114
42064044,42.177
42152044,42.689
42240044,43.082
42328044,43.051
42416044,41.777
42504044,42.74
42592044,41.945
42680044,42.056
42768044,41.755
42856044,42.274
42944044,42.655
43032044,41.963
43120044,42.772
43208044,42.056
43296044,42.194
43384044,42.704
43472044,41.838
43560044,42.089
43648044,41.791
43736044,42.257
43824044,42.098
43912044,42.172
44000044,42.367
44088044,42.275
44176044,41.882
44264044,41.896
44352044,41.822
44440044,41.765
44528044,41.839
44616044,42.112
44704044,42.094
44792044,41.948
44880044,41.687
44968044,42.318
45056044,42.518
45144044,41.162
45232044,42.482
45320044,42.177
45408044,41.955
45496044,41.813
45584044,42.329
45672044,42.027
45760044,42.542
45848044,41.094
45936044,42.494
46024044,41.961
46112044,41.703
46200044,42.107
46288044,41.88
46376044,42.452
46464044,41.858
46552044,41.836
46640044,41.262
46728044,42.785
46816044,41.625
46904044,42.314
46992044,42.939
47080044,42.357
47168044,42.193
47256044,41.677
47344044,42.24
47432044,41.895
47520044,41.847
47608044,42.365
47696044,42.085
47784044,41.53
47872044,41.9
47960044,41.881
48048044,41.659
48136044,41.937
48224044,42.347
48312044,42.19
48400044,42.255
48488044,42.132
48576044,42.592
48664044,42.292
48752044,42.542
48840044,42.277
