timestep,reward
44,41.014
66044,40.856
132044,41.286
198044,40.776
264044,40.795
330044,41.334
396044,40.952
462044,40.36
528044,41.152
594044,41.093
660044,41.508
726044,41.327
792044,40.931
858044,41.377
924044,40.939
990044,41.492
1056044,41.597
1122044,41.452
1188044,41.317
1254044,41.069
1320044,40.935
1386044,41.005
1452044,40.76
1518044,41.349
1584044,41.373
1650044,41.344
1716044,42.057
1782044,41.259
1848044,41.357
1914044,41.241
1980044,41.793
2046044,41.837
2112044,41.295
2178044,42.032
2244044,41.334
2310044,40.996
2376044,41.251
2442044,41.445
2508044,41.201
2574044,41.479
2640044,41.434
2706044,40.881
2772044,42.221
2838044,41.53
2904044,41.782
2970044,41.38
3036044,41.487
3102044,42.009
3168044,41.134
3234044,41.117
3300044,41.072
3366044,41.237
3432044,41.354
3498044,41.369
3564044,41.16
3630044,41.567
3696044,41.476
3762044,41.742
3828044,41.343
3894044,41.437
3960044,41.503
4026044,41.561
4092044,41.571
4158044,41.262
4224044,40.976
4290044,41.299
4356044,41.369
4422044,41.655
4488044,41.687
4554044,41.621
4620044,41.235
4686044,41.929
4752044,42.219
4818044,41.471
4884044,41.096
4950044,41.007
5016044,41.548
5082044,41.138
5148044,41.933
5214044,41.084
5280044,41.445
5346044,40.642
5412044,41.584
5478044,41.294
5544044,40.531
5610044,41.684
5676044,41.571
5742044,41.218
5808044,41.682
5874044,41.111
5940044,41.149
6006044,41.378
6072044,41.276
6138044,41.577
6204044,41.422
6270044,41.432
6336044,40.995
6402044,41.556
6468044,41.727
6534044,41.743
