timestep,reward
44,0.526
66044,0.538
132044,0.532
198044,0.503
264044,0.5
330044,0.528
396044,0.501
462044,0.517
528044,0.531
594044,0.531
660044,0.52
726044,0.514
792044,0.543
858044,0.545
924044,0.531
990044,0.546
1056044,0.537
1122044,0.542
1188044,0.528
1254044,0.533
1320044,0.541
1386044,0.535
1452044,0.504
1518044,0.541
1584044,0.526
1650044,0.527
1716044,0.548
1782044,0.545
1848044,0.527
1914044,0.52
1980044,0.545
2046044,0.552
2112044,0.548
2178044,0.549
2244044,0.532
2310044,0.538
2376044,0.523
2442044,0.547
2508044,0.536
2574044,0.528
2640044,0.539
2706044,0.528
2772044,0.561
2838044,0.557
2904044,0.549
2970044,0.534
3036044,0.536
3102044,0.561
3168044,0.544
3234044,0.538
3300044,0.529
3366044,0.553
3432044,0.542
3498044,0.523
3564044,0.558
3630044,0.531
3696044,0.576
3762044,0.532
3828044,0.526
3894044,0.525
3960044,0.542
4026044,0.543
4092044,0.529
4158044,0.553
4224044,0.53
4290044,0.541
4356044,0.543
4422044,0.549
4488044,0.521
4554044,0.566
4620044,0.528
4686044,0.576
4752044,0.574
4818044,0.54
4884044,0.533
4950044,0.507
5016044,0.561
5082044,0.534
5148044,0.57
5214044,0.521
5280044,0.549
5346044,0.503
5412044,0.551
5478044,0.528
5544044,0.525
5610044,0.565
5676044,0.572
5742044,0.526
5808044,0.544
5874044,0.536
5940044,0.518
6006044,0.533
6072044,0.538
6138044,0.538
6204044,0.546
6270044,0.529
6336044,0.534
6402044,0.555
6468044,0.544
6534044,0.558
